name,district,location,phone,source_url,data_source
Karur Srinidhi Yaarn Mill (P) Ltd,Karur,"34/97A, L.G.B. Nagar, Karur - 639002",04324-248325,https://commoditiesindia.net/listing/karur-srinidhi-yaarn-mill-p-ltd/,commoditiesindia_verified_directory
Chettinad Spinning & Weaving Mills,Karur,"Puliyur CF, Karur, Tamil Nadu 639114",04324-251200,https://www.indianyellowpages.com/karur/chettinad-spinning-mills,yellowpages_verified_directory
